marker,lg,cM
Lcu.2RBY.Chr6p418640858,LG6,122.698
Lcu.2RBY.Chr6p418886885,LG6,123.168
Lcu.2RBY.unitig3170p75178,LG6,126.637
Lcu.2RBY.Chr7p276763,LG7,0
Lcu.2RBY.Chr7p490116,LG7,0.856
Lcu.2RBY.Chr7p490282,LG7,0.856
Lcu.2RBY.Chr7p671958,LG7,2.435
Lcu.2RBY.Chr7p671831,LG7,2.435
Lcu.2RBY.Chr7p4127655,LG7,14.02
Lcu.2RBY.Chr7p4351890,LG7,15.685
Lcu.2RBY.Chr7p4317651,LG7,16.204
Lcu.2RBY.Chr7p5054220,LG7,19.535
Lcu.2RBY.Chr7p5064800,LG7,19.549
Lcu.2RBY.Chr7p6839650,LG7,28.574
Lcu.2RBY.Chr7p8102425,LG7,30.293
Lcu.2RBY.Chr7p12525961,LG7,39.743
Lcu.2RBY.Chr7p12678371,LG7,40.649
Lcu.2RBY.Chr7p13450447,LG7,41.947
Lcu.2RBY.Chr7p13450265,LG7,42.225
Lcu.2RBY.Chr7p16115317,LG7,43.875
Lcu.2RBY.Chr7p24575239,LG7,50.237
Lcu.2RBY.Chr7p24575002,LG7,50.524
Lcu.2RBY.Chr7p31178273,LG7,51.548
Lcu.2RBY.Chr7p31178036,LG7,51.752
Lcu.2RBY.Chr7p32792357,LG7,52.207
Lcu.2RBY.Chr7p63316561,LG7,53.876
Lcu.2RBY.Chr7p71218636,LG7,55.425
Lcu.2RBY.Chr7p101214984,LG7,55.492
Lcu.2RBY.Chr7p100630009,LG7,55.496
Lcu.2RBY.unitig1914p156609,LG7,56.022
Lcu.2RBY.Chr7p165139694,LG7,56.022
Lcu.2RBY.Chr7p240591737,LG7,56.469
Lcu.2RBY.Chr7p309173453,LG7,56.471
Lcu.2RBY.Chr7p436809863,LG7,58.421
Lcu.2RBY.Chr7p451713819,LG7,59.891
Lcu.2RBY.Chr7p451713885,LG7,60.545
Lcu.2RBY.Chr7p466080185,LG7,61.144
Lcu.2RBY.unitig1303p876943,LG7,63.404
Lcu.2RBY.Chr7p474898168,LG7,65.065
Lcu.2RBY.Chr7p476055938,LG7,65.077
Lcu.2RBY.Chr7p476055858,LG7,65.077
Lcu.2RBY.Chr7p482398771,LG7,66.709
Lcu.2RBY.Chr7p481384961,LG7,66.789
Lcu.2RBY.Chr7p482112288,LG7,67.419
Lcu.2RBY.Chr7p483653158,LG7,67.961
Lcu.2RBY.Chr7p482093950,LG7,69.981
Lcu.2RBY.Chr7p489491566,LG7,71.629
Lcu.2RBY.Chr7p489784151,LG7,72.04
Lcu.2RBY.Chr7p493552679,LG7,72.304
Lcu.2RBY.Chr7p494459987,LG7,73.296
Lcu.2RBY.Chr7p499311666,LG7,76.748
Lcu.2RBY.Chr7p499094050,LG7,77.617
Lcu.2RBY.Chr7p502789150,LG7,79.368
Lcu.2RBY.Chr7p503203250,LG7,79.954
Lcu.2RBY.Chr7p503203085,LG7,79.961
Lcu.2RBY.Chr7p509058968,LG7,81.094
Lcu.2RBY.Chr7p506881635,LG7,81.693
Lcu.2RBY.Chr7p507292506,LG7,81.693
Lcu.2RBY.Chr7p507395885,LG7,81.892
Lcu.2RBY.Chr7p508161557,LG7,82.131
Lcu.2RBY.Chr7p509092184,LG7,82.208
Lcu.2RBY.Chr7p508506154,LG7,82.708
Lcu.2RBY.Chr7p511174507,LG7,84.139
Lcu.2RBY.Chr7p513951128,LG7,84.155
Lcu.2RBY.Chr7p513983246,LG7,84.396
Lcu.2RBY.Chr7p515545383,LG7,87.293
Lcu.2RBY.Chr7p515542853,LG7,88.338
Lcu.2RBY.Chr7p517200083,LG7,89.578
Lcu.2RBY.Chr7p516819335,LG7,89.784
Lcu.2RBY.Chr7p515510967,LG7,91.587
Lcu.2RBY.Chr7p510368074,LG7,92.355
Lcu.2RBY.Chr7p519781435,LG7,95.748
Lcu.2RBY.Chr7p518595316,LG7,95.867
Lcu.2RBY.Chr7p519781523,LG7,97.147
Lcu.2RBY.Chr7p526091462,LG7,102.072
Lcu.2RBY.Chr7p519781602,LG7,104.474
Lcu.2RBY.Chr7p521903209,LG7,108.124
Lcu.2RBY.Chr7p521903410,LG7,108.148
Lcu.2RBY.Chr7p521903439,LG7,108.179
Lcu.2RBY.Chr7p521903150,LG7,108.235
Lcu.2RBY.Chr7p521278434,LG7,108.373
Lcu.2RBY.Chr7p521278595,LG7,109.255
Lcu.2RBY.Chr7p522052546,LG7,119.497
Lcu.2RBY.Chr7p525680575,LG7,120.432
Lcu.2RBY.Chr7p527195825,LG7,124.098
Lcu.2RBY.Chr7p527080519,LG7,125.196
Lcu.2RBY.Chr7p525429602,LG7,126.254
Lcu.2RBY.Chr7p527909513,LG7,134.098
Lcu.2RBY.Chr7p527974800,LG7,135.359
Lcu.2RBY.Chr7p527974735,LG7,135.743
Lcu.2RBY.Chr7p528002646,LG7,136.02
Lcu.2RBY.Chr7p528301899,LG7,136.86
Lcu.2RBY.Chr7p528421337,LG7,137.449
Lcu.2RBY.Chr7p528359785,LG7,137.46
Lcu.2RBY.Chr7p528359951,LG7,137.472
Lcu.2RBY.Chr7p528359929,LG7,137.48
