"REF_DATE","GEO","DGUID","Statistics","Characteristics","Income, consumption and savings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","20682","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21262","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","20390","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21762","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21832","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21989","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","20957","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","22463","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","23274","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21351","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","20895","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","23116","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","23294","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","21981","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Adjusted household disposable income","Dollars","81","units","0","v1278066834","1.3.3.28","22205","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","15065","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","14619","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","16505","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","16320","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","15139","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","16652","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","17727","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","17429","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","16270","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18340","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18396","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18657","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","17409","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18886","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18712","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","18895","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","17798","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066814","1.3.3.8","19409","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1694","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1958","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1899","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1954","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1815","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1941","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1955","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1914","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1828","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1976","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2010","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2046","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","1961","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2067","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2059","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2101","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2020","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066815","1.3.3.9","2111","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","460","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","593","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","689","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","695","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","535","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","613","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","618","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","602","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","526","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","580","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","602","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","595","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","536","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","617","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","609","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","600","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","517","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066816","1.3.3.10","577","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","519","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","458","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","743","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","834","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","513","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","628","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","836","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","1039","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","636","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","879","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","898","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","1155","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","701","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","888","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","868","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","1110","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","679","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Clothing and footwear","Dollars","81","units","0","v1278066817","1.3.3.11","868","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3678","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3586","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3630","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3649","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3800","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3819","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3870","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3747","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3985","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4021","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","3978","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4013","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4262","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4241","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4216","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4303","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4540","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066818","1.3.3.12","4584","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","766","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","973","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1085","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1152","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","924","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1130","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1190","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1242","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","935","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1180","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1125","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1199","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","920","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1114","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1067","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1143","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","882","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066819","1.3.3.13","1070","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","775","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","652","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","768","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","780","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","812","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","839","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","851","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","822","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","832","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","884","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","870","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","877","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","887","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","914","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","911","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","924","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","930","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Health","Dollars","81","units","0","v1278066820","1.3.3.14","964","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2081","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","1648","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2362","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2070","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","1918","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2221","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2365","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2182","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2091","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2522","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2552","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2389","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2278","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2670","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2666","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2408","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2342","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Transport","Dollars","81","units","0","v1278066821","1.3.3.15","2733","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","489","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","486","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","501","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","498","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","494","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","498","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","526","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","534","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","515","","","","0"
"2022-04","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","516","","","","0"
"2022-07","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","529","","","","0"
"2022-10","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","548","","","","0"
"2023-01","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","532","","","","0"
"2023-04","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","524","","","","0"
"2023-07","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","532","","","","0"
"2023-10","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","552","","","","0"
"2024-01","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","538","","","","0"
"2024-04","Canada","2016A000011124","Value per household","Second income quintile","Communications","Dollars","81","units","0","v1278066822","1.3.3.16","533","","","","0"
"2020-01","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1260","","","","0"
"2020-04","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1434","","","","0"
"2020-07","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1567","","","","0"
"2020-10","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1552","","","","0"
"2021-01","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1309","","","","0"
"2021-04","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1710","","","","0"
"2021-07","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1807","","","","0"
"2021-10","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1715","","","","0"
"2022-01","Canada","2016A000011124","Value per household","Second income quintile","Recreation and culture","Dollars","81","units","0","v1278066823","1.3.3.17","1439","","","","0"
