"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","41","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","40","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","41","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","42","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","40","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","42","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","41","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","42","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","43","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","24","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","25","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","19","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","21","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","14","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","13","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","12","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","13","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","14","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","12","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","14","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","10","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","14","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","10","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","7","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","6","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","9","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","5","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","6","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","9","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","8","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","7","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","6","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Number of deaths","Number","223","units","0","v41341052","1.1.1.6.2","3","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.1","","","","1"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.1","","","","1"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.1","","","","1"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.1","","","","1"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347412","1.1.1.6.4","0.0","","","","1"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","15","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","15","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","12","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","13","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Rank of leading causes of death","Number","223","units","0","v41341053","1.1.1.7.1","14","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1357","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1392","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1489","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1552","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1608","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1690","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1852","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1972","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2135","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2211","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2257","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2465","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2611","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2289","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2359","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2487","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","1909","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2044","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2195","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2139","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2246","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2064","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2183","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Number of deaths","Number","223","units","0","v41341054","1.1.1.7.2","2359","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","4.4","","","","1"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","4.5","","","","1"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","4.7","","","","1"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","4.9","","","","1"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.0","","","","1"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.2","","","","1"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.7","","","","1"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.0","","","","1"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.4","","","","1"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.6","","","","1"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.6","","","","1"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","7.1","","","","1"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","7.5","","","","1"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.5","","","","1"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.6","","","","1"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","6.9","","","","1"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.3","","","","1"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.6","","","","1"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.9","","","","1"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.7","","","","1"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.9","","","","1"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.4","","","","1"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.6","","","","1"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Sepsis [A40-A41]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347414","1.1.1.7.4","5.9","","","","1"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","41","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","43","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","41","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","41","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","42","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Syphilis [A50-A53]","Rank of leading causes of death","Number","223","units","0","v41341055","1.1.1.8.1","41","","","","0"
