"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","358","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","338","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","413","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","497","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","371","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","393","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","357","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","365","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","401","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","398","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","425","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","373","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","418","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","415","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","401","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","396","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","389","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","394","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","445","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","408","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","475","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","417","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","485","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","522","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","448","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","452","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","455","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","578","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, March","Number of deaths","Number","223","units","0","v21216362","2.4.1","519","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","340","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","359","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","326","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","353","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","356","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","295","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","360","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","388","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","342","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","353","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","327","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","388","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","354","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","364","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","362","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","374","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","375","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","410","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","378","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","380","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","425","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","407","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","373","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","411","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","431","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","443","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","470","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","445","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","476","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","454","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","485","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","536","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, April","Number of deaths","Number","223","units","0","v21216364","2.5.1","493","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","319","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","313","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","337","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","327","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","315","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","331","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","419","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","340","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","325","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","369","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","366","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","347","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","351","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","324","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","390","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","354","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","383","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","386","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","349","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","406","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","379","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","397","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","376","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","439","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","449","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","459","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","461","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","429","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","423","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","467","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","419","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","520","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, May","Number of deaths","Number","223","units","0","v21216366","2.6.1","464","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","317","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","268","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","324","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","275","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","282","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","331","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","343","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","323","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","346","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","291","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","335","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","313","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","354","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","330","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","378","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","327","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","373","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","370","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","359","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","351","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","348","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","392","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","404","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","402","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","424","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","395","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","366","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","403","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","430","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","432","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","455","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","487","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, June","Number of deaths","Number","223","units","0","v21216368","2.7.1","475","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","315","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","308","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","301","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","318","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","297","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","321","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","362","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","318","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","326","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","331","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","343","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","334","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","345","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","392","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","368","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","379","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","371","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","332","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","324","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","350","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","391","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","309","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","398","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","363","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","361","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","371","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","398","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","372","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","407","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","450","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","479","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","512","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, July","Number of deaths","Number","223","units","0","v21216370","2.8.1","467","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","259","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","309","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","291","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","319","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","301","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","327","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","322","","","","0"
"1998","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","301","","","","0"
"1999","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","293","","","","0"
"2000","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","335","","","","0"
"2001","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","295","","","","0"
"2002","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","331","","","","0"
"2003","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","332","","","","0"
"2004","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","354","","","","0"
"2005","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","385","","","","0"
"2006","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","369","","","","0"
"2007","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","336","","","","0"
"2008","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","343","","","","0"
"2009","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","323","","","","0"
"2010","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","352","","","","0"
"2011","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","359","","","","0"
"2012","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","373","","","","0"
"2013","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","372","","","","0"
"2014","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","372","","","","0"
"2015","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","416","","","","0"
"2016","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","422","","","","0"
"2017","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","394","","","","0"
"2018","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","402","","","","0"
"2019","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","396","","","","0"
"2020","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","420","","","","0"
"2021","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","497","","","","0"
"2022","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","546","","","","0"
"2023","Newfoundland and Labrador, place of residence","2016A000210","Month of death, August","Number of deaths","Number","223","units","0","v21216372","2.9.1","488","","","","0"
"1991","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","298","","","","0"
"1992","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","278","","","","0"
"1993","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","305","","","","0"
"1994","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","327","","","","0"
"1995","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","290","","","","0"
"1996","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","305","","","","0"
"1997","Newfoundland and Labrador, place of residence","2016A000210","Month of death, September","Number of deaths","Number","223","units","0","v21216374","2.10.1","332","","","","0"
