"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Both sexes","55 years and over","Percentage","242","units","0","v53040287","1.2.10.1.4","36.4","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Both sexes","55 years and over","Percentage","242","units","0","v53040287","1.2.10.1.4","37.0","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Both sexes","55 years and over","Percentage","242","units","0","v53040287","1.2.10.1.4","38.1","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","64.4","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","64.6","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","64.4","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","61.7","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","62.3","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","62.8","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","63.8","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","63.7","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","63.1","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","65.1","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","65.0","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","65.7","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","66.6","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","67.3","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","63.0","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","65.8","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","67.8","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040288","1.2.10.2.1","68.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","49.7","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","52.2","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","50.7","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","47.1","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","43.0","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","44.7","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","44.5","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","46.8","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","45.0","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","48.3","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","50.4","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","48.2","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","51.2","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","54.2","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","43.2","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","50.6","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","54.0","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040289","1.2.10.2.2","54.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","86.1","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","85.5","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","85.6","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","81.6","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","82.3","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","83.2","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","84.4","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","84.7","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","84.4","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","85.9","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","85.6","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","86.7","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","87.5","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","87.5","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","83.4","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","86.0","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","88.9","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040290","1.2.10.2.3","89.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","37.0","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","38.4","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","38.2","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","37.5","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","39.9","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","39.0","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","40.0","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","38.8","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","39.2","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","41.1","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","40.7","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","41.3","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","41.8","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","43.2","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","40.4","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","42.4","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","43.1","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040291","1.2.10.2.4","44.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","50.9","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","51.4","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","51.1","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","50.7","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","50.9","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","50.9","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","52.0","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","52.0","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","51.6","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","51.9","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","52.6","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","53.8","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","54.7","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","55.4","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","51.0","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","54.8","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","56.9","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040292","1.2.10.3.1","57.1","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","49.0","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","47.3","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","50.2","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","46.6","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","47.0","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","46.5","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","47.0","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","45.6","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","46.2","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","48.5","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","47.3","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","50.0","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","51.0","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","53.5","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","44.1","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","50.3","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","55.2","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040293","1.2.10.3.2","53.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","70.0","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","70.9","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","69.7","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","69.1","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","68.8","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","69.0","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","70.3","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","70.8","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","69.9","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","69.6","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","70.5","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","71.9","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","73.1","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","73.9","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","68.4","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","73.2","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","76.2","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040294","1.2.10.3.3","76.4","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","24.6","","","","1"
"2007","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","25.2","","","","1"
"2008","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","26.0","","","","1"
"2009","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","26.7","","","","1"
"2010","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","27.1","","","","1"
"2011","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","26.9","","","","1"
"2012","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","27.7","","","","1"
"2013","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","27.6","","","","1"
"2014","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","28.1","","","","1"
"2015","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","28.6","","","","1"
"2016","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","29.0","","","","1"
"2017","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","29.8","","","","1"
"2018","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","30.5","","","","1"
"2019","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","30.7","","","","1"
"2020","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","28.9","","","","1"
"2021","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","30.8","","","","1"
"2022","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","31.4","","","","1"
"2023","Canada","2016A000011124","Landed immigrants","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040295","1.2.10.3.4","32.1","","","","1"
"2006","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","796.0","","","","1"
"2007","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","823.2","","","","1"
"2008","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","862.6","","","","1"
"2009","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","841.5","","","","1"
"2010","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","879.3","","","","1"
"2011","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","882.6","","","","1"
"2012","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","876.3","","","","1"
"2013","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","892.9","","","","1"
"2014","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","918.1","","","","1"
"2015","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","941.8","","","","1"
"2016","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","930.9","","","","1"
"2017","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","962.0","","","","1"
"2018","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1023.1","","","","1"
"2019","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1059.3","","","","1"
"2020","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1020.6","","","","1"
"2021","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1030.8","","","","1"
"2022","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1105.5","","","","1"
"2023","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040296","1.3.1.1.1","1223.1","","","","1"
"2006","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","143.5","","","","1"
"2007","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","155.7","","","","1"
"2008","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","152.6","","","","1"
"2009","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","150.5","","","","1"
"2010","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","156.5","","","","1"
"2011","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","147.4","","","","1"
"2012","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","137.2","","","","1"
"2013","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","141.4","","","","1"
"2014","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","154.3","","","","1"
"2015","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","165.2","","","","1"
"2016","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","152.0","","","","1"
"2017","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","154.6","","","","1"
"2018","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","158.4","","","","1"
"2019","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","174.4","","","","1"
"2020","Canada","2016A000011124","Immigrants, landed 5 or less years earlier","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040297","1.3.1.1.2","150.7","","","","1"
