"marker","lg","cM"
"Lcu.2RBY.Chr2p368245790","LG2.1",836.3
"Lcu.2RBY.Chr2p360908118","LG2.1",837.24
"Lcu.2RBY.Chr2p364846711","LG2.1",838.18
"Lcu.2RBY.Chr2p364553195","LG2.1",839.11
"Lcu.2RBY.Chr2p367485648","LG2.1",839.58
"Lcu.2RBY.Chr2p364552847","LG2.1",841.02
"Lcu.2RBY.Chr2p367641623","LG2.1",842.45
"Lcu.2RBY.Chr2p365528327","LG2.1",843.39
"Lcu.2RBY.Chr2p371408666","LG2.1",843.85
"Lcu.2RBY.Chr2p374543830","LG2.1",844.81
"Lcu.2RBY.Chr2p369630795","LG2.1",845.78
"Lcu.2RBY.Chr2p369630660","LG2.1",846.72
"Lcu.2RBY.Chr2p369633286","LG2.1",847.66
"Lcu.2RBY.Chr2p360465881","LG2.1",848.6
"Lcu.2RBY.Chr2p350372554","LG2.1",849.56
"Lcu.2RBY.Chr2p350372515","LG2.1",850.52
"Lcu.2RBY.Chr2p349234191","LG2.1",852.45
"Lcu.2RBY.Chr2p352988255","LG2.1",853.38
"Lcu.2RBY.Chr2p352988256","LG2.1",853.84
"Lcu.2RBY.Chr2p350062151","LG2.1",854.32
"Lcu.2RBY.Chr2p357383672","LG2.1",854.8
"Lcu.2RBY.Chr2p350443224","LG2.1",856.26
"Lcu.2RBY.Chr2p350372920","LG2.1",857.73
"Lcu.2RBY.Chr2p349336428","LG2.1",859.26
"Lcu.2RBY.Chr2p349336581","LG2.1",860.81
"Lcu.2RBY.Chr2p181200828","LG2.1",866.72
"Lcu.2RBY.Chr2p181200649","LG2.1",870.1
"Lcu.2RBY.Chr2p42745520","LG2.1",884.91
"Lcu.2RBY.Chr2p42745451","LG2.1",886.62
"Lcu.2RBY.Chr2p42745483","LG2.1",888.28
"Lcu.2RBY.Chr2p48669354","LG2.1",896.58
"Lcu.2RBY.Chr2p131416027","LG2.1",904.33
"Lcu.2RBY.Chr2p108043667","LG2.1",909.23
"Lcu.2RBY.Chr2p108043677","LG2.1",913.17
"Lcu.2RBY.Chr2p120902341","LG2.1",919.15
"Lcu.2RBY.Chr2p139325970","LG2.1",920.17
"Lcu.2RBY.Chr2p139325943","LG2.1",921.67
"Lcu.2RBY.Chr2p142208404","LG2.1",922.67
"Lcu.2RBY.Chr2p142208432","LG2.1",923.14
"Lcu.2RBY.Chr2p128149529","LG2.1",924.63
"Lcu.2RBY.Chr2p139327424","LG2.1",926.59
"Lcu.2RBY.Chr2p128834827","LG2.1",927.07
"Lcu.2RBY.Chr2p98942258","LG2.1",928.08
"Lcu.2RBY.Chr2p56429525","LG2.1",928.57
"Lcu.2RBY.Chr2p62696275","LG2.1",929.57
"Lcu.2RBY.Chr2p62779043","LG2.1",930.58
"Lcu.2RBY.Chr2p60771249","LG2.1",931.6
"Lcu.2RBY.Chr2p142794504","LG2.1",932.6
"Lcu.2RBY.Chr2p129661310","LG2.1",933.59
"Lcu.2RBY.Chr2p127150033","LG2.1",934.09
"Lcu.2RBY.Chr2p136780992","LG2.1",935.09
"Lcu.2RBY.Chr2p62246024","LG2.1",935.58
"Lcu.2RBY.Chr2p62245957","LG2.1",936.08
"Lcu.2RBY.Chr2p71432729","LG2.1",937.1
"Lcu.2RBY.Chr2p198238002","LG2.1",938.61
"Lcu.2RBY.Chr2p271519083","LG2.1",940.67
"Lcu.2RBY.Chr2p291672651","LG2.1",944.09
"Lcu.2RBY.Chr2p291672631","LG2.1",944.63
"Lcu.2RBY.Chr2p291672584","LG2.1",945.16
"Lcu.2RBY.Chr2p291672530","LG2.1",947.32
"Lcu.2RBY.Chr2p191321238","LG2.1",950.69
"Lcu.2RBY.Chr2p248291633","LG2.1",952.25
"Lcu.2RBY.Chr2p248064440","LG2.1",952.75
"Lcu.2RBY.unitig1467p774066","LG2.1",954.26
"Lcu.2RBY.Chr2p300607558","LG2.1",954.74
"Lcu.2RBY.Chr2p283283784","LG2.1",956.16
"Lcu.2RBY.Chr2p56364731","LG2.1",958.64
"Lcu.2RBY.Chr2p53131214","LG2.1",959.62
"Lcu.2RBY.Chr2p81642144","LG2.1",961.14
"Lcu.2RBY.Chr2p72471287","LG2.1",962.17
"Lcu.2RBY.Chr2p139325858","LG2.1",963.21
"Lcu.2RBY.Chr2p137385157","LG2.1",964.26
"Lcu.2RBY.Chr2p155150096","LG2.1",965.31
"Lcu.2RBY.Chr2p170747832","LG2.1",966.81
"Lcu.2RBY.Chr2p167112304","LG2.1",967.78
"Lcu.2RBY.Chr2p88006206","LG2.1",969.76
"Lcu.2RBY.Chr2p61541158","LG2.1",971.23
"Lcu.2RBY.Chr2p89603629","LG2.1",971.72
"Lcu.2RBY.Chr2p70997040","LG2.1",972.72
"Lcu.2RBY.Chr2p55939136","LG2.1",973.22
"Lcu.2RBY.Chr2p81565067","LG2.1",973.73
"Lcu.2RBY.Chr2p132645178","LG2.1",974.74
"Lcu.2RBY.Chr2p142546399","LG2.1",976.34
"Lcu.2RBY.Chr2p93985729","LG2.1",977.38
"Lcu.2RBY.Chr2p93986030","LG2.1",977.9
"Lcu.2RBY.Chr2p90118109","LG2.1",978.97
"Lcu.2RBY.Chr2p63872008","LG2.1",979.97
"Lcu.2RBY.Chr2p60755211","LG2.1",980.46
"Lcu.2RBY.Chr2p72766208","LG2.1",981.95
"Lcu.2RBY.Chr2p131416293","LG2.1",983.48
"Lcu.2RBY.Chr2p241817238","LG2.1",986.08
"Lcu.2RBY.Chr2p210727294","LG2.1",986.57
"Lcu.2RBY.Chr2p231212058","LG2.1",988.03
"Lcu.2RBY.Chr2p235011358","LG2.1",989.51
"Lcu.2RBY.Chr2p246338605","LG2.1",990.53
"Lcu.2RBY.unitig4111p102807","LG2.1",991.5
"Lcu.2RBY.Chr2p293641983","LG2.1",992.95
"Lcu.2RBY.unitig4111p101937","LG2.1",994.39
"Lcu.2RBY.Chr2p289685629","LG2.1",995.32
"Lcu.2RBY.Chr2p287776739","LG2.1",996.27
"Lcu.2RBY.Chr2p288828950","LG2.1",997.25
"Lcu.2RBY.Chr2p193590572","LG2.1",998.24
"Lcu.2RBY.Chr2p200415732","LG2.1",999.2
"Lcu.2RBY.Chr2p226508639","LG2.1",1000.15
"Lcu.2RBY.Chr2p226508640","LG2.1",1000.61
"Lcu.2RBY.Chr2p193587171","LG2.1",1004.19
"Lcu.2RBY.Chr2p193587065","LG2.1",1007.81
"Lcu.2RBY.unitig0604p1441365","LG2.1",1009.31
"Lcu.2RBY.Chr2p201265606","LG2.1",1011.29
"Lcu.2RBY.Chr2p196016537","LG2.1",1012.79
"Lcu.2RBY.Chr2p191568150","LG2.1",1013.78
"Lcu.2RBY.Chr2p179221552","LG2.1",1014.28
"Lcu.2RBY.Chr2p180345897","LG2.1",1015.78
"Lcu.2RBY.Chr2p285511679","LG2.1",1016.75
"Lcu.2RBY.Chr2p242587480","LG2.1",1017.71
"Lcu.2RBY.Chr2p256061559","LG2.1",1018.66
"Lcu.2RBY.Chr2p211784657","LG2.1",1019.63
"Lcu.2RBY.Chr2p229593141","LG2.1",1020.61
"Lcu.2RBY.Chr2p238885600","LG2.1",1021.59
"Lcu.2RBY.Chr2p225283112","LG2.1",1022.58
"Lcu.2RBY.Chr2p271542807","LG2.1",1023.07
"Lcu.2RBY.Chr2p298072416","LG2.1",1024.05
"Lcu.2RBY.Chr2p302000405","LG2.1",1027.74
"Lcu.2RBY.Chr2p263895941","LG2.1",1030.49
"Lcu.2RBY.Chr2p210627279","LG2.1",1031
"Lcu.2RBY.Chr2p282715969","LG2.1",1031.98
"Lcu.2RBY.Chr2p253652455","LG2.1",1032.96
"Lcu.2RBY.Chr2p262814835","LG2.1",1033.93
"Lcu.2RBY.unitig2882p313463","LG2.1",1034.87
"Lcu.2RBY.Chr2p242436883","LG2.1",1035.82
"Lcu.2RBY.Chr2p221145776","LG2.1",1036.3
"Lcu.2RBY.Chr2p212113148","LG2.1",1036.78
"Lcu.2RBY.Chr2p217373793","LG2.1",1038.76
"Lcu.2RBY.Chr2p330606600","LG2.1",1042.38
"Lcu.2RBY.Chr2p326089418","LG2.1",1043.38
"Lcu.2RBY.Chr2p326089480","LG2.1",1043.87
"Lcu.2RBY.Chr2p324424124","LG2.1",1045.34
"Lcu.2RBY.Chr2p327294866","LG2.1",1046.81
"Lcu.2RBY.Chr2p311887461","LG2.1",1047.31
"Lcu.2RBY.Chr2p316508918","LG2.1",1048.32
"Lcu.2RBY.Chr2p306089467","LG2.1",1049.28
"Lcu.2RBY.Chr2p324144228","LG2.1",1049.77
"Lcu.2RBY.Chr2p330669082","LG2.1",1050.75
"Lcu.2RBY.Chr2p330597965","LG2.1",1052.75
"Lcu.2RBY.Chr2p322130466","LG2.1",1054.71
"Lcu.2RBY.Chr2p330607405","LG2.1",1056.71
"Lcu.2RBY.Chr2p322130574","LG2.1",1058.26
"Lcu.2RBY.Chr2p322130539","LG2.1",1058.74
"Lcu.2RBY.Chr2p324440962","LG2.1",1060.24
"Lcu.2RBY.Chr2p324440870","LG2.1",1063.4
"Lcu.2RBY.Chr2p316391009","LG2.1",1067.63
"Lcu.2RBY.Chr2p316391008","LG2.1",1068.1
"Lcu.2RBY.Chr2p330669220","LG2.1",1071.17
"Lcu.2RBY.Chr2p330669128","LG2.1",1072.14
"Lcu.2RBY.Chr2p330669127","LG2.1",1073.09
"Lcu.2RBY.Chr2p330669022","LG2.1",1074.56
"Lcu.2RBY.Chr2p307961910","LG2.1",1079.96
"Lcu.2RBY.Chr2p307961944","LG2.1",1081.46
"Lcu.2RBY.Chr2p201264995","LG2.1",1088.12
"Lcu.2RBY.Chr2p193583433","LG2.1",1089.69
"Lcu.2RBY.Chr2p285300228","LG2.1",1090.68
"Lcu.2RBY.Chr2p292740241","LG2.1",1091.67
"Lcu.2RBY.Chr2p298069822","LG2.1",1093.15
"Lcu.2RBY.Chr2p298069820","LG2.1",1094.62
"Lcu.2RBY.Chr2p285293202","LG2.1",1096.69
"Lcu.2RBY.Chr2p285297904","LG2.1",1097.72
"Lcu.2RBY.Chr2p236218696","LG2.1",1099.27
"Lcu.2RBY.Chr2p302474856","LG2.1",1100.25
"Lcu.2RBY.Chr2p205196258","LG2.1",1101.22
"Lcu.2RBY.Chr2p198272278","LG2.1",1102.2
"Lcu.2RBY.Chr2p249268549","LG2.1",1103.7
"Lcu.2RBY.Chr2p232187374","LG2.1",1105.23
"Lcu.2RBY.Chr2p185562167","LG2.1",1106.21
"Lcu.2RBY.Chr2p205196042","LG2.1",1107.19
"Lcu.2RBY.Chr2p295800104","LG2.1",1108.21
"Lcu.2RBY.Chr2p228543160","LG2.1",1110.27
"Lcu.2RBY.Chr2p238504868","LG2.1",1111.74
"Lcu.2RBY.Chr2p287774485","LG2.1",1112.7
"Lcu.2RBY.Chr2p287774571","LG2.1",1113.65
"Lcu.2RBY.Chr2p206523249","LG2.1",1115.12
"Lcu.2RBY.Chr2p213149270","LG2.1",1116.11
"Lcu.2RBY.Chr2p203744506","LG2.1",1117.07
"Lcu.2RBY.unitig4111p135966","LG2.1",1117.54
"Lcu.2RBY.Chr2p211778682","LG2.1",1118.01
"Lcu.2RBY.unitig2882p71736","LG2.1",1118.96
"Lcu.2RBY.Chr2p256438771","LG2.1",1119.43
"Lcu.2RBY.Chr2p212084425","LG2.1",1120.89
"Lcu.2RBY.Chr2p191507889","LG2.1",1121.37
"Lcu.2RBY.Chr2p191314852","LG2.1",1122.34
"Lcu.2RBY.Chr2p184307554","LG2.1",1123.31
"Lcu.2RBY.Chr2p263880639","LG2.1",1124.3
"Lcu.2RBY.Chr2p173678175","LG2.1",1125.3
"Lcu.2RBY.Chr2p172720520","LG2.1",1127.3
"Lcu.2RBY.Chr2p162080485","LG2.1",1129.83
"Lcu.2RBY.Chr2p155159767","LG2.1",1133.48
"Lcu.2RBY.Chr2p155160231","LG2.1",1135.56
"Lcu.2RBY.Chr2p155160166","LG2.1",1136.55
"Lcu.2RBY.Chr2p155161514","LG2.1",1139.13
"Lcu.2RBY.Chr2p155347639","LG2.1",1140.68
"Lcu.2RBY.Chr2p155079792","LG2.1",1141.71
"Lcu.2RBY.Chr2p63057651","LG2.1",1142.75
"Lcu.2RBY.Chr2p63057623","LG2.1",1143.77
"Lcu.2RBY.Chr2p72462644","LG2.1",1146.43
"Lcu.2RBY.Chr2p62243820","LG2.1",1148.54
"Lcu.2RBY.Chr2p133560745","LG2.1",1150.65
"Lcu.2RBY.Chr2p92057026","LG2.1",1152.13
"Lcu.2RBY.Chr2p89603759","LG2.1",1153.14
"Lcu.2RBY.Chr2p131581818","LG2.1",1156.91
"Lcu.2RBY.Chr2p101032388","LG2.1",1160.77
"Lcu.2RBY.Chr2p130620406","LG2.1",1163.43
"Lcu.2RBY.Chr2p70013822","LG2.1",1165.49
"Lcu.2RBY.Chr2p80318338","LG2.1",1166.5
"Lcu.2RBY.Chr2p86954993","LG2.1",1167.51
"Lcu.2RBY.Chr2p100977927","LG2.1",1168.02
"Lcu.2RBY.Chr2p131582754","LG2.1",1169.02
"Lcu.2RBY.Chr2p155097309","LG2.1",1170.02
"Lcu.2RBY.Chr2p155086978","LG2.1",1171.5
"Lcu.2RBY.Chr2p85474786","LG2.1",1172.47
"Lcu.2RBY.Chr2p65629446","LG2.1",1173.44
"Lcu.2RBY.Chr2p66840643","LG2.1",1173.94
"Lcu.2RBY.Chr2p132123910","LG2.1",1174.98
"Lcu.2RBY.Chr2p60849412","LG2.1",1175.97
"Lcu.2RBY.Chr2p52064077","LG2.1",1178.5
"Lcu.2RBY.Chr2p49477951","LG2.1",1180.5
"Lcu.2RBY.Chr2p49477917","LG2.1",1180.98
"Lcu.2RBY.Chr2p50808662","LG2.1",1182.5
"Lcu.2RBY.Chr2p81640815","LG2.1",1183.52
"Lcu.2RBY.Chr2p130836822","LG2.1",1184.53
"Lcu.2RBY.Chr2p55488506","LG2.1",1185.52
"Lcu.2RBY.Chr2p130637033","LG2.1",1186.52
"Lcu.2RBY.Chr2p101029556","LG2.1",1187.48
"Lcu.2RBY.Chr2p131416061","LG2.1",1190.64
"Lcu.2RBY.Chr2p131416198","LG2.1",1195.25
"Lcu.2RBY.Chr2p131416211","LG2.1",1197.34
"Lcu.2RBY.Chr2p51818391","LG2.1",1207.99
"Lcu.2RBY.Chr2p48039306","LG2.1",1216.01
"Lcu.2RBY.Chr2p48039246","LG2.1",1217.01
"Lcu.2RBY.Chr2p49477150","LG2.1",1217.99
"Lcu.2RBY.Chr2p48099599","LG2.1",1218.48
"Lcu.2RBY.Chr2p52063162","LG2.1",1220.02
"Lcu.2RBY.Chr2p51518111","LG2.1",1220.98
"Lcu.2RBY.Chr2p49456589","LG2.1",1221.95
"Lcu.2RBY.Chr2p38933249","LG2.1",1223.51
"Lcu.2RBY.Chr2p48085439","LG2.1",1226.26
"Lcu.2RBY.Chr2p48085389","LG2.1",1228.3
"Lcu.2RBY.Chr2p61541459","LG2.1",1230.91
"Lcu.2RBY.Chr2p52063237","LG2.1",1236.55
"Lcu.2RBY.Chr2p48432497","LG2.1",1240.36
"Lcu.2RBY.Chr2p48816556","LG2.1",1241.36
"Lcu.2RBY.Chr2p52035290","LG2.1",1242.38
"Lcu.2RBY.Chr2p48764899","LG2.1",1243.93
"Lcu.2RBY.Chr2p41856968","LG2.1",1246.65
"Lcu.2RBY.Chr2p46393989","LG2.1",1247.69
"Lcu.2RBY.Chr2p42099010","LG2.1",1248.71
"Lcu.2RBY.Chr2p41763620","LG2.1",1249.74
"Lcu.2RBY.Chr2p41517830","LG2.1",1250.82
"Lcu.2RBY.Chr2p41048857","LG2.1",1251.86
"Lcu.2RBY.Chr2p40787507","LG2.1",1252.84
"Lcu.2RBY.Chr2p41542388","LG2.1",1254.31
"Lcu.2RBY.Chr2p40978312","LG2.1",1255.32
"Lcu.2RBY.Chr2p41542271","LG2.1",1256.36
"Lcu.2RBY.Chr2p40787388","LG2.1",1257.41
"Lcu.2RBY.Chr2p40784662","LG2.1",1258.42
"Lcu.2RBY.Chr2p40784517","LG2.1",1259.44
"Lcu.2RBY.Chr2p41047707","LG2.1",1260.48
"Lcu.2RBY.Chr2p40787210","LG2.1",1262.09
"Lcu.2RBY.Chr2p46225873","LG2.1",1264.32
"Lcu.2RBY.Chr2p66777405","LG2.1",1265.91
"Lcu.2RBY.Chr2p66777359","LG2.1",1266.4
"Lcu.2RBY.Chr2p99623802","LG2.1",1268.46
"Lcu.2RBY.Chr2p38435631","LG2.1",1271.76
"Lcu.2RBY.Chr2p38447522","LG2.1",1273.83
"Lcu.2RBY.Chr2p38932436","LG2.1",1277.16
"Lcu.2RBY.Chr2p38932478","LG2.1",1279.32
"Lcu.2RBY.Chr2p38614312","LG2.1",1283.26
"Lcu.2RBY.Chr2p38671969","LG2.1",1284.25
"Lcu.2RBY.Chr2p38447257","LG2.1",1285.23
"Lcu.2RBY.Chr2p38380515","LG2.1",1285.71
"Lcu.2RBY.Chr2p38380463","LG2.1",1286.67
"Lcu.2RBY.Chr2p38932800","LG2.1",1287.19
"Lcu.2RBY.Chr2p38678607","LG2.1",1287.71
"Lcu.2RBY.Chr2p38444337","LG2.1",1288.18
"Lcu.2RBY.Chr2p38608355","LG2.1",1289.18
"Lcu.2RBY.Chr2p38672207","LG2.1",1290.19
"Lcu.2RBY.Chr2p39122810","LG2.1",1291.22
"Lcu.2RBY.Chr2p37758500","LG2.1",1292.27
"Lcu.2RBY.Chr2p38203331","LG2.1",1293.31
"Lcu.2RBY.Chr2p37829754","LG2.1",1294.87
"Lcu.2RBY.Chr2p37829552","LG2.1",1295.94
"Lcu.2RBY.Chr2p38123031","LG2.1",1299.92
"Lcu.2RBY.Chr2p38122996","LG2.1",1300.95
"Lcu.2RBY.Chr2p37830365","LG2.1",1304.37
"Lcu.2RBY.Chr2p37829201","LG2.1",1306
"Lcu.2RBY.Chr2p37014424","LG2.1",1307.48
"Lcu.2RBY.Chr2p37014704","LG2.1",1309.01
"Lcu.2RBY.Chr2p37014678","LG2.1",1309.52
"Lcu.2RBY.Chr2p36531503","LG2.1",1311.07
"Lcu.2RBY.Chr2p36195991","LG2.1",1312.08
"Lcu.2RBY.Chr2p36382211","LG2.1",1313.1
"Lcu.2RBY.Chr2p36120165","LG2.1",1314.59
"Lcu.2RBY.Chr2p35632471","LG2.1",1315.08
"Lcu.2RBY.Chr2p35632526","LG2.1",1316.08
"Lcu.2RBY.Chr2p34863392","LG2.1",1317.13
"Lcu.2RBY.Chr2p35191443","LG2.1",1318.19
"Lcu.2RBY.Chr2p35406178","LG2.1",1318.72
"Lcu.2RBY.Chr2p34452960","LG2.1",1320.32
"Lcu.2RBY.Chr2p34419791","LG2.1",1321.35
"Lcu.2RBY.Chr2p34778176","LG2.1",1321.86
"Lcu.2RBY.Chr2p33031828","LG2.1",1324.09
"Lcu.2RBY.Chr2p33031879","LG2.1",1325.14
"Lcu.2RBY.Chr2p33374641","LG2.1",1326.72
"Lcu.2RBY.Chr2p32658739","LG2.1",1327.76
"Lcu.2RBY.Chr2p33420365","LG2.1",1329.36
"Lcu.2RBY.Chr2p32683810","LG2.1",1329.86
"Lcu.2RBY.Chr2p32784495","LG2.1",1332.04
"Lcu.2RBY.Chr2p33032045","LG2.1",1334.88
"Lcu.2RBY.Chr2p33031993","LG2.1",1335.38
"Lcu.2RBY.Chr2p33065812","LG2.1",1336.89
"Lcu.2RBY.Chr2p33083770","LG2.1",1337.91
"Lcu.2RBY.Chr2p33125305","LG2.1",1338.91
"Lcu.2RBY.Chr2p33516835","LG2.1",1340.38
"Lcu.2RBY.Chr2p33438874","LG2.1",1341.9
"Lcu.2RBY.Chr2p26351647","LG2.1",1344.56
"Lcu.2RBY.Chr2p26454640","LG2.1",1345.55
"Lcu.2RBY.Chr2p26454767","LG2.1",1346.52
"Lcu.2RBY.Chr2p26453626","LG2.1",1348.05
"Lcu.2RBY.Chr2p26556717","LG2.1",1349.1
"Lcu.2RBY.Chr2p26358893","LG2.1",1350.16
"Lcu.2RBY.Chr2p26612757","LG2.1",1351.74
"Lcu.2RBY.Chr2p26612921","LG2.1",1352.23
"Lcu.2RBY.Chr2p23929326","LG2.1",1354.28
"Lcu.2RBY.Chr2p23932712","LG2.1",1355.89
"Lcu.2RBY.Chr2p24046119","LG2.1",1356.93
"Lcu.2RBY.Chr2p22860716","LG2.1",1357.96
"Lcu.2RBY.Chr2p22483754","LG2.1",1358.98
"Lcu.2RBY.Chr2p22111681","LG2.1",1359.46
"Lcu.2RBY.Chr2p22079949","LG2.1",1359.95
"Lcu.2RBY.Chr2p22110862","LG2.1",1360.95
"Lcu.2RBY.Chr2p22080085","LG2.1",1361.44
"Lcu.2RBY.Chr2p22111591","LG2.1",1361.93
"Lcu.2RBY.Chr2p22175943","LG2.1",1362.42
"Lcu.2RBY.Chr2p19616503","LG2.1",1368.63
"Lcu.2RBY.Chr2p19616527","LG2.1",1370.15
"Lcu.2RBY.Chr2p19616189","LG2.1",1377.17
"Lcu.2RBY.Chr2p19463542","LG2.1",1378.7
"Lcu.2RBY.Chr2p19508576","LG2.1",1379.7
"Lcu.2RBY.Chr2p19554725","LG2.1",1380.71
"Lcu.2RBY.Chr2p17729983","LG2.1",1381.69
"Lcu.2RBY.Chr2p17620599","LG2.1",1382.17
"Lcu.2RBY.Chr2p17748469","LG2.1",1383.18
"Lcu.2RBY.Chr2p17748544","LG2.1",1384.73
"Lcu.2RBY.Chr2p18473976","LG2.1",1385.26
"Lcu.2RBY.Chr2p17611910","LG2.1",1386.88
"Lcu.2RBY.Chr2p15200696","LG2.1",1388.47
"Lcu.2RBY.Chr2p14883016","LG2.1",1389
"Lcu.2RBY.Chr2p15188819","LG2.1",1390.23
"Lcu.2RBY.Chr2p15188387","LG2.1",1391.44
"Lcu.2RBY.Chr2p15188765","LG2.1",1392.05
"Lcu.2RBY.Chr2p16612873","LG2.1",1392.66
"Lcu.2RBY.Chr2p16611915","LG2.1",1393.2
"Lcu.2RBY.Chr2p15717904","LG2.1",1394.78
"Lcu.2RBY.Chr2p15671441","LG2.1",1395.78
"Lcu.2RBY.Chr2p15676803","LG2.1",1396.27
"Lcu.2RBY.Chr2p15676339","LG2.1",1397.76
"Lcu.2RBY.Chr2p15676331","LG2.1",1398.7
"Lcu.2RBY.Chr2p14929344","LG2.1",1401.36
"Lcu.2RBY.Chr2p14883132","LG2.1",1402.96
"Lcu.2RBY.Chr2p14932147","LG2.1",1403.96
"Lcu.2RBY.Chr2p14932263","LG2.1",1405
"Lcu.2RBY.Chr2p15189588","LG2.1",1407.11
"Lcu.2RBY.Chr2p15578542","LG2.1",1408.62
"Lcu.2RBY.Chr2p16499499","LG2.1",1410.12
"Lcu.2RBY.Chr2p16578817","LG2.1",1411.17
"Lcu.2RBY.Chr2p15411235","LG2.1",1412.23
"Lcu.2RBY.Chr2p15864335","LG2.1",1414.95
"Lcu.2RBY.unitig3625p180006","LG2.1",1422.44
"Lcu.2RBY.Chr2p13801661","LG2.1",1430.14
"Lcu.2RBY.Chr2p13595296","LG2.1",1434.8
"Lcu.2RBY.Chr2p13570558","LG2.1",1436.95
"Lcu.2RBY.Chr2p14642369","LG2.1",1438.44
"Lcu.2RBY.Chr2p14100828","LG2.1",1439.43
"Lcu.2RBY.unitig0930p1085530","LG2.1",1440.9
"Lcu.2RBY.unitig0930p1085573","LG2.1",1442.32
"Lcu.2RBY.unitig0930p1085497","LG2.1",1444.22
"Lcu.2RBY.Chr2p13685827","LG2.1",1446.16
"Lcu.2RBY.Chr2p13685817","LG2.1",1446.64
"Lcu.2RBY.Chr2p13681085","LG2.1",1447.64
"Lcu.2RBY.unitig0930p209557","LG2.1",1448.13
"Lcu.2RBY.Chr2p13284561","LG2.1",1449.12
"Lcu.2RBY.Chr2p13168601","LG2.1",1450.66
"Lcu.2RBY.Chr2p13164008","LG2.1",1451.17
"Lcu.2RBY.Chr2p13169890","LG2.1",1452.19
"Lcu.2RBY.Chr2p12993824","LG2.1",1453.72
"Lcu.2RBY.Chr2p12935925","LG2.1",1455.83
"Lcu.2RBY.Chr2p11760545","LG2.1",1457.44
"Lcu.2RBY.Chr2p11760593","LG2.1",1458.47
"Lcu.2RBY.Chr2p11978766","LG2.1",1460.01
"Lcu.2RBY.Chr2p11760706","LG2.1",1460.5
"Lcu.2RBY.Chr2p11772387","LG2.1",1461.99
"Lcu.2RBY.Chr2p11772377","LG2.1",1464.01
"Lcu.2RBY.Chr2p9638958","LG2.1",1467.59
"Lcu.2RBY.Chr2p9638820","LG2.1",1469.63
"Lcu.2RBY.Chr2p10602658","LG2.1",1471.18
"Lcu.2RBY.Chr2p10336987","LG2.1",1472.19
"Lcu.2RBY.Chr2p10336962","LG2.1",1472.67
"Lcu.2RBY.Chr2p10336977","LG2.1",1473.15
"Lcu.2RBY.Chr2p10601931","LG2.1",1476.77
"Lcu.2RBY.Chr2p10600623","LG2.1",1481.57
"Lcu.2RBY.Chr2p10600641","LG2.1",1482.56
"Lcu.2RBY.Chr2p10600593","LG2.1",1484.04
"Lcu.2RBY.Chr2p10600571","LG2.1",1485.53
"Lcu.2RBY.Chr2p10205981","LG2.1",1486.52
"Lcu.2RBY.Chr2p9915139","LG2.1",1487.01
"Lcu.2RBY.Chr2p10188924","LG2.1",1488.51
"Lcu.2RBY.Chr2p10334714","LG2.1",1489.5
"Lcu.2RBY.Chr2p9639801","LG2.1",1490.52
"Lcu.2RBY.Chr2p9520520","LG2.1",1491.52
"Lcu.2RBY.Chr2p9520523","LG2.1",1492
"Lcu.2RBY.Chr2p9639113","LG2.1",1493.5
"Lcu.2RBY.Chr2p9639120","LG2.1",1493.99
"Lcu.2RBY.Chr2p9639122","LG2.1",1494.96
"Lcu.2RBY.Chr2p9640162","LG2.1",1496.46
"Lcu.2RBY.Chr2p9640050","LG2.1",1496.96
"Lcu.2RBY.Chr2p10002312","LG2.1",1498.01
"Lcu.2RBY.Chr2p9638374","LG2.1",1499.1
"Lcu.2RBY.Chr2p9638418","LG2.1",1501.18
"Lcu.2RBY.Chr2p8695580","LG2.1",1503.9
"Lcu.2RBY.Chr2p8317786","LG2.1",1505.55
"Lcu.2RBY.Chr2p8331122","LG2.1",1506.07
"Lcu.2RBY.Chr2p8500315","LG2.1",1507.08
"Lcu.2RBY.Chr2p8318214","LG2.1",1510.62
"Lcu.2RBY.Chr2p8530213","LG2.1",1514.24
"Lcu.2RBY.Chr2p8417821","LG2.1",1515.82
"Lcu.2RBY.Chr2p8160574","LG2.1",1517.86
"Lcu.2RBY.Chr2p7029074","LG2.1",1519.97
"Lcu.2RBY.Chr2p7120796","LG2.1",1522.14
"Lcu.2RBY.Chr2p7120945","LG2.1",1523.81
"Lcu.2RBY.Chr2p6705340","LG2.1",1524.35
"Lcu.2RBY.Chr2p6705613","LG2.1",1525.99
"Lcu.2RBY.Chr2p6719873","LG2.1",1526.5
"Lcu.2RBY.Chr2p6656929","LG2.1",1528
"Lcu.2RBY.Chr2p6655982","LG2.1",1529.01
"Lcu.2RBY.Chr2p6656606","LG2.1",1529.5
"Lcu.2RBY.Chr2p4927472","LG2.1",1531.65
"Lcu.2RBY.Chr2p6059593","LG2.1",1533.9
"Lcu.2RBY.Chr2p5873186","LG2.1",1534.43
"Lcu.2RBY.Chr2p6731711","LG2.1",1536.63
"Lcu.2RBY.Chr2p6709233","LG2.1",1537.66
"Lcu.2RBY.Chr2p8150324","LG2.1",1539.21
"Lcu.2RBY.Chr2p8160033","LG2.1",1540.22
"Lcu.2RBY.Chr2p7992021","LG2.1",1541.2
"Lcu.2RBY.Chr2p7872843","LG2.1",1542.16
"Lcu.2RBY.Chr2p7873280","LG2.1",1543.14
"Lcu.2RBY.Chr2p7783978","LG2.1",1544.15
